CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24244,E01005113,Manchester 047C,Lower Super Output Areas and Data Zones,LSOADZ,830,202,278,213,119,18,1573,1136,
24245,E01005114,Manchester 047D,Lower Super Output Areas and Data Zones,LSOADZ,810,349,276,153,30,2,1768,1285,
24246,E01005115,Manchester 044A,Lower Super Output Areas and Data Zones,LSOADZ,785,288,262,175,56,4,1874,1213,
24247,E01005116,Manchester 047E,Lower Super Output Areas and Data Zones,LSOADZ,973,459,244,192,74,4,1964,1480,
24248,E01005117,Manchester 048E,Lower Super Output Areas and Data Zones,LSOADZ,938,277,299,219,131,12,2059,2106,
24249,E01005118,Manchester 034A,Lower Super Output Areas and Data Zones,LSOADZ,497,196,157,115,28,1,1507,1115,
24250,E01005119,Manchester 041A,Lower Super Output Areas and Data Zones,LSOADZ,629,179,205,167,73,5,1531,1377,
24251,E01005120,Manchester 034B,Lower Super Output Areas and Data Zones,LSOADZ,661,241,201,161,55,3,1849,1402,
24252,E01005121,Manchester 041B,Lower Super Output Areas and Data Zones,LSOADZ,599,153,212,161,68,5,1594,1336,
24253,E01005122,Manchester 041C,Lower Super Output Areas and Data Zones,LSOADZ,641,177,208,178,75,3,1681,1876,
24254,E01005123,Manchester 041D,Lower Super Output Areas and Data Zones,LSOADZ,622,157,199,185,80,1,1701,1242,
24255,E01005124,Manchester 041E,Lower Super Output Areas and Data Zones,LSOADZ,686,202,227,168,82,7,1734,1218,
24256,E01005125,Manchester 040A,Lower Super Output Areas and Data Zones,LSOADZ,635,229,192,151,62,1,1596,1382,
24257,E01005126,Manchester 045A,Lower Super Output Areas and Data Zones,LSOADZ,819,383,256,146,31,3,2034,1360,
24258,E01005128,Manchester 055A,Lower Super Output Areas and Data Zones,LSOADZ,766,239,433,87,7,0,1710,2569,
24259,E01005129,Manchester 013B,Lower Super Output Areas and Data Zones,LSOADZ,709,134,242,192,131,10,1461,1708,
24260,E01005130,Manchester 054A,Lower Super Output Areas and Data Zones,LSOADZ,767,171,245,208,132,11,1481,1273,
24261,E01005132,Manchester 013C,Lower Super Output Areas and Data Zones,LSOADZ,661,134,214,192,111,10,1480,1263,
24262,E01005133,Manchester 013D,Lower Super Output Areas and Data Zones,LSOADZ,596,124,209,160,98,5,1275,1203,
24263,E01005135,Manchester 002B,Lower Super Output Areas and Data Zones,LSOADZ,624,148,212,178,84,2,1621,1313,
24264,E01005136,Manchester 002C,Lower Super Output Areas and Data Zones,LSOADZ,637,206,209,156,64,2,1506,1135,
24265,E01005138,Manchester 002D,Lower Super Output Areas and Data Zones,LSOADZ,787,165,239,234,139,10,1755,1384,
24266,E01005139,Manchester 003B,Lower Super Output Areas and Data Zones,LSOADZ,714,269,239,155,49,2,1726,1265,
24267,E01005140,Manchester 002E,Lower Super Output Areas and Data Zones,LSOADZ,1185,421,390,249,117,8,2804,2427,
24268,E01005141,Manchester 003C,Lower Super Output Areas and Data Zones,LSOADZ,805,185,243,256,108,13,1738,1311,
24269,E01005142,Manchester 058A,Lower Super Output Areas and Data Zones,LSOADZ,729,133,212,235,138,11,1912,2056,
24270,E01005143,Manchester 056A,Lower Super Output Areas and Data Zones,LSOADZ,792,187,254,227,115,9,2602,2192,
24271,E01005145,Manchester 008A,Lower Super Output Areas and Data Zones,LSOADZ,801,249,286,201,58,7,2711,2347,
24272,E01005146,Manchester 008B,Lower Super Output Areas and Data Zones,LSOADZ,852,214,301,264,67,6,2361,2226,
24273,E01005147,Manchester 058B,Lower Super Output Areas and Data Zones,LSOADZ,914,222,301,253,126,12,2538,2948,
24274,E01005149,Manchester 008C,Lower Super Output Areas and Data Zones,LSOADZ,474,126,177,122,40,9,1743,1654,
24275,E01005150,Manchester 029A,Lower Super Output Areas and Data Zones,LSOADZ,930,476,287,115,43,9,1870,2759,
24276,E01005151,Manchester 029B,Lower Super Output Areas and Data Zones,LSOADZ,717,364,172,126,44,11,1485,916,
24277,E01005152,Manchester 029C,Lower Super Output Areas and Data Zones,LSOADZ,600,407,113,63,16,1,1453,806,
24278,E01005153,Manchester 037B,Lower Super Output Areas and Data Zones,LSOADZ,820,483,195,102,37,3,1663,1070,
24279,E01005154,Manchester 033A,Lower Super Output Areas and Data Zones,LSOADZ,669,379,189,79,21,1,1581,980,
24280,E01005155,Manchester 037C,Lower Super Output Areas and Data Zones,LSOADZ,683,442,133,82,25,1,1411,811,
24281,E01005156,Manchester 033B,Lower Super Output Areas and Data Zones,LSOADZ,635,423,136,66,10,0,1496,1446,
24282,E01005157,Manchester 037D,Lower Super Output Areas and Data Zones,LSOADZ,614,415,141,51,6,1,1591,955,
24283,E01005158,Manchester 033C,Lower Super Output Areas and Data Zones,LSOADZ,711,320,199,150,40,2,1511,1182,
24284,E01005159,Manchester 029D,Lower Super Output Areas and Data Zones,LSOADZ,621,378,159,59,22,3,1585,1314,
24285,E01005160,Manchester 004B,Lower Super Output Areas and Data Zones,LSOADZ,721,224,270,190,35,2,1769,1478,
24286,E01005161,Manchester 004C,Lower Super Output Areas and Data Zones,LSOADZ,657,259,246,110,40,2,1554,937,
24287,E01005162,Manchester 004D,Lower Super Output Areas and Data Zones,LSOADZ,679,215,204,204,53,3,1710,1355,
24288,E01005163,Manchester 004E,Lower Super Output Areas and Data Zones,LSOADZ,661,213,211,163,64,10,1651,1103,
24289,E01005164,Manchester 006A,Lower Super Output Areas and Data Zones,LSOADZ,694,166,232,192,91,13,1571,4823,
24290,E01005165,Manchester 008D,Lower Super Output Areas and Data Zones,LSOADZ,976,204,332,320,94,26,2109,2553,
24291,E01005166,Manchester 008E,Lower Super Output Areas and Data Zones,LSOADZ,716,152,257,223,75,9,1862,1678,
24292,E01005167,Manchester 008F,Lower Super Output Areas and Data Zones,LSOADZ,565,160,197,129,70,9,1985,2102,
24293,E01005168,Manchester 045B,Lower Super Output Areas and Data Zones,LSOADZ,522,291,150,63,16,2,1388,1251,
24294,E01005169,Manchester 045C,Lower Super Output Areas and Data Zones,LSOADZ,487,284,143,52,7,1,1367,4060,
24295,E01005170,Manchester 045D,Lower Super Output Areas and Data Zones,LSOADZ,584,328,174,71,11,0,1531,905,
24296,E01005171,Manchester 045E,Lower Super Output Areas and Data Zones,LSOADZ,711,352,219,116,23,1,1697,1879,
24297,E01005172,Manchester 043A,Lower Super Output Areas and Data Zones,LSOADZ,803,426,229,111,21,16,1600,1006,
24298,E01005173,Manchester 043B,Lower Super Output Areas and Data Zones,LSOADZ,703,441,177,63,19,3,1547,963,
24299,E01005174,Manchester 043C,Lower Super Output Areas and Data Zones,LSOADZ,624,411,151,53,8,1,1570,925,
24300,E01005175,Manchester 043D,Lower Super Output Areas and Data Zones,LSOADZ,693,373,185,103,27,5,1605,963,
24301,E01005176,Manchester 043E,Lower Super Output Areas and Data Zones,LSOADZ,936,614,209,81,25,7,1806,2109,
24302,E01005177,Manchester 043F,Lower Super Output Areas and Data Zones,LSOADZ,643,370,164,94,15,0,1339,816,
24303,E01005178,Manchester 030A,Lower Super Output Areas and Data Zones,LSOADZ,742,249,219,189,77,8,1968,1514,
24304,E01005179,Manchester 030B,Lower Super Output Areas and Data Zones,LSOADZ,953,415,308,168,53,9,2235,1593,
24305,E01005180,Manchester 030C,Lower Super Output Areas and Data Zones,LSOADZ,782,211,232,227,98,14,1847,1383,
24306,E01005181,Manchester 030D,Lower Super Output Areas and Data Zones,LSOADZ,683,286,232,126,35,4,2140,1833,
24307,E01005182,Manchester 030E,Lower Super Output Areas and Data Zones,LSOADZ,469,127,165,135,39,3,1610,1642,
24308,E01005183,Manchester 030F,Lower Super Output Areas and Data Zones,LSOADZ,670,134,222,194,113,7,1779,1384,
24309,E01005184,Manchester 032A,Lower Super Output Areas and Data Zones,LSOADZ,779,344,258,139,35,3,2121,1874,
24310,E01005185,Manchester 032B,Lower Super Output Areas and Data Zones,LSOADZ,534,248,209,64,13,0,4024,3655,
24311,E01005186,Manchester 020B,Lower Super Output Areas and Data Zones,LSOADZ,945,231,347,258,100,9,2376,2846,
24312,E01005187,Manchester 021A,Lower Super Output Areas and Data Zones,LSOADZ,787,229,285,179,85,9,1926,1309,
24313,E01005188,Manchester 021B,Lower Super Output Areas and Data Zones,LSOADZ,703,222,255,168,57,1,1714,1394,
