CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24420,E01005297,Manchester 028A,Lower Super Output Areas and Data Zones,LSOADZ,916,379,276,176,74,11,2449,1668,
24421,E01005298,Manchester 028B,Lower Super Output Areas and Data Zones,LSOADZ,641,310,178,114,35,4,1835,1291,
24422,E01005299,Manchester 029F,Lower Super Output Areas and Data Zones,LSOADZ,533,265,140,106,20,2,1591,1018,
24423,E01005300,Manchester 033D,Lower Super Output Areas and Data Zones,LSOADZ,490,198,173,91,28,0,1561,1108,
24424,E01005301,Manchester 033E,Lower Super Output Areas and Data Zones,LSOADZ,612,305,203,82,20,2,1601,1196,
24425,E01005302,Manchester 028C,Lower Super Output Areas and Data Zones,LSOADZ,930,368,319,173,60,10,1846,1494,
24426,E01005304,Manchester 040B,Lower Super Output Areas and Data Zones,LSOADZ,657,307,234,86,27,3,1810,1305,
24427,E01005305,Manchester 036A,Lower Super Output Areas and Data Zones,LSOADZ,592,285,207,85,14,1,1795,1181,
24428,E01005306,Manchester 040C,Lower Super Output Areas and Data Zones,LSOADZ,687,419,173,72,20,3,1546,902,
24429,E01005307,Manchester 040D,Lower Super Output Areas and Data Zones,LSOADZ,721,375,229,95,20,2,1971,1386,
24430,E01005308,Manchester 040E,Lower Super Output Areas and Data Zones,LSOADZ,625,248,200,121,53,3,1697,1113,
24431,E01005309,Manchester 036B,Lower Super Output Areas and Data Zones,LSOADZ,963,394,380,138,46,5,2297,2376,
24432,E01005310,Manchester 036C,Lower Super Output Areas and Data Zones,LSOADZ,579,252,177,107,39,4,1860,1356,
24433,E01005311,Manchester 036D,Lower Super Output Areas and Data Zones,LSOADZ,615,311,186,83,32,3,1769,1296,
24434,E01005312,Manchester 036E,Lower Super Output Areas and Data Zones,LSOADZ,618,255,189,116,50,8,1811,1307,
24435,E01005313,Manchester 053A,Lower Super Output Areas and Data Zones,LSOADZ,618,140,199,207,70,2,1496,980,
24436,E01005314,Manchester 053B,Lower Super Output Areas and Data Zones,LSOADZ,635,157,215,188,70,5,1575,1226,
24437,E01005315,Manchester 053C,Lower Super Output Areas and Data Zones,LSOADZ,715,160,249,212,92,2,1503,1470,
24438,E01005316,Manchester 053D,Lower Super Output Areas and Data Zones,LSOADZ,702,274,223,153,49,3,1606,16646,
24439,E01005317,Manchester 052E,Lower Super Output Areas and Data Zones,LSOADZ,774,208,248,223,90,5,1647,4801,
24440,E01005318,Manchester 053E,Lower Super Output Areas and Data Zones,LSOADZ,782,259,229,223,65,6,1874,2319,
24441,E01005319,Manchester 051E,Lower Super Output Areas and Data Zones,LSOADZ,880,254,282,244,94,6,2131,1404,
51989,E01033651,Manchester 054B,Lower Super Output Areas and Data Zones,LSOADZ,630,200,328,80,18,4,1152,3645,
51990,E01033652,Manchester 022F,Lower Super Output Areas and Data Zones,LSOADZ,411,133,154,83,36,5,1618,10172,
51991,E01033653,Manchester 055B,Lower Super Output Areas and Data Zones,LSOADZ,1036,343,501,161,30,1,1670,17742,
51992,E01033654,Manchester 055C,Lower Super Output Areas and Data Zones,LSOADZ,617,239,300,68,9,1,2956,6834,
51993,E01033655,Manchester 056B,Lower Super Output Areas and Data Zones,LSOADZ,694,250,374,60,6,4,1197,1824,
51994,E01033656,Manchester 057B,Lower Super Output Areas and Data Zones,LSOADZ,761,283,421,54,2,1,3490,5185,
51995,E01033657,Manchester 022G,Lower Super Output Areas and Data Zones,LSOADZ,435,94,187,105,40,9,1557,1971,
51996,E01033658,Manchester 054C,Lower Super Output Areas and Data Zones,LSOADZ,711,245,355,100,11,0,1303,42253,
51997,E01033659,Manchester 055D,Lower Super Output Areas and Data Zones,LSOADZ,760,342,360,48,9,1,1336,2177,
51998,E01033660,Manchester 059B,Lower Super Output Areas and Data Zones,LSOADZ,698,347,305,35,9,2,1168,475,
51999,E01033661,Manchester 055E,Lower Super Output Areas and Data Zones,LSOADZ,706,259,304,105,37,1,1155,5161,
52000,E01033662,Manchester 057C,Lower Super Output Areas and Data Zones,LSOADZ,842,292,408,103,34,5,1335,6936,
52001,E01033663,Manchester 013E,Lower Super Output Areas and Data Zones,LSOADZ,712,248,328,107,27,2,1183,842,
52002,E01033664,Manchester 054D,Lower Super Output Areas and Data Zones,LSOADZ,607,229,320,53,5,0,1119,3411,
52003,E01033665,Manchester 056C,Lower Super Output Areas and Data Zones,LSOADZ,723,168,384,125,39,7,1212,3135,
52004,E01033666,Manchester 017F,Lower Super Output Areas and Data Zones,LSOADZ,1103,302,348,316,123,14,2664,2448,
52005,E01033667,Manchester 054E,Lower Super Output Areas and Data Zones,LSOADZ,653,213,318,94,26,2,1006,2940,
52006,E01033668,Manchester 015F,Lower Super Output Areas and Data Zones,LSOADZ,598,197,225,122,50,4,1136,890,
52007,E01033669,Manchester 015G,Lower Super Output Areas and Data Zones,LSOADZ,677,150,226,206,88,7,1397,2497,
52008,E01033670,Manchester 039E,Lower Super Output Areas and Data Zones,LSOADZ,655,394,227,29,4,1,1252,888,
52009,E01033671,Manchester 039F,Lower Super Output Areas and Data Zones,LSOADZ,793,556,158,59,19,1,1709,1384,
52010,E01033672,Manchester 059C,Lower Super Output Areas and Data Zones,LSOADZ,725,221,278,141,75,10,1291,1088,
52011,E01033673,Manchester 059D,Lower Super Output Areas and Data Zones,LSOADZ,673,315,317,38,3,0,1101,580,
52012,E01033674,Manchester 058C,Lower Super Output Areas and Data Zones,LSOADZ,647,259,236,101,47,4,2206,3751,
52013,E01033675,Manchester 058D,Lower Super Output Areas and Data Zones,LSOADZ,757,253,245,178,75,6,2064,1473,
52014,E01033676,Manchester 056D,Lower Super Output Areas and Data Zones,LSOADZ,730,142,223,247,110,8,1668,2386,
52015,E01033677,Manchester 060A,Lower Super Output Areas and Data Zones,LSOADZ,699,310,321,63,5,0,1170,10306,
52016,E01033678,Manchester 009F,Lower Super Output Areas and Data Zones,LSOADZ,688,164,225,189,102,8,1574,1436,
52017,E01033679,Manchester 009G,Lower Super Output Areas and Data Zones,LSOADZ,643,91,186,228,124,14,1409,1172,
52018,E01033680,Manchester 028E,Lower Super Output Areas and Data Zones,LSOADZ,646,255,234,105,43,9,1211,808,
52019,E01033681,Manchester 060B,Lower Super Output Areas and Data Zones,LSOADZ,844,436,362,41,5,0,1373,6178,
52020,E01033682,Manchester 060C,Lower Super Output Areas and Data Zones,LSOADZ,797,402,327,60,8,0,1261,3849,
52021,E01033683,Manchester 060D,Lower Super Output Areas and Data Zones,LSOADZ,747,311,365,63,8,0,1259,1849,
52022,E01033684,Manchester 013F,Lower Super Output Areas and Data Zones,LSOADZ,649,208,376,59,6,0,1203,387,
52023,E01033685,Manchester 003F,Lower Super Output Areas and Data Zones,LSOADZ,652,297,182,138,33,2,1561,934,
52024,E01033686,Manchester 028F,Lower Super Output Areas and Data Zones,LSOADZ,608,218,240,117,25,8,1265,765,
52025,E01033687,Manchester 003G,Lower Super Output Areas and Data Zones,LSOADZ,802,184,285,217,105,11,1417,1264,
52026,E01033688,Manchester 013G,Lower Super Output Areas and Data Zones,LSOADZ,691,146,195,219,118,13,1505,2229,
